parkingLotSeq,PArkingLotName,parkingLotNewAddr,parkingLotOldAddr,IsChecked,modifyDate,regDate
204902,GS타임즈 어린이대공원,부산광역시 부산진구 초읍동 241,부산광역시 부산진구 초읍동 241,0,2018-11-26 17:09:53,2018-11-16 14:09:17
204903,GS타임즈 인들디자인,부산광역시 남구 수영로 274-16  ,부산광역시 남구 수영로 274-16  ,0,2018-11-26 17:59:49,2018-11-16 14:09:17
204904,GS타임즈 스마일빌딩,울산광역시 남구 삼산중로 100번길 20  ,울산광역시 남구 삼산중로 100번길 20  ,0,2018-11-26 16:58:35,2018-11-16 14:09:17
204906,GS타임즈 탑마트충무공,경상남도 진주시 에나로 128번길 28  ,경상남도 진주시 에나로 128번길 28  ,0,2018-11-26 17:06:35,2018-11-16 14:09:17
204907,GS타임즈 탑마트구포,부산광역시 북구 백양대로 1052  ,부산광역시 북구 백양대로 1052  ,0,2018-11-26 17:09:23,2018-11-16 14:09:17
204908,GS타임즈 킨스타워,경기도 성남시 분당구 성남대로 331번길 8  ,경기도 성남시 분당구 성남대로 331번길 8  ,0,2018-11-20 17:08:29,2018-11-16 14:09:17
204909,GS타임즈 송산빌딩,경기도 의정부시 충의로 52  ,경기도 의정부시 충의로 52  ,0,2018-11-20 16:58:39,2018-11-16 14:09:17
204920,마곡2 임시,서울특별시 강서구 마곡동 364-8,서울특별시 강서구 마곡동 364-8,0,2019-10-17 11:55:51,2018-11-16 17:12:59
204923,강서아파트,서울특별시 강서구 공항대로 46길 105,서울특별시 강서구 공항대로 46길 105,0,2018-11-20 16:05:05,2018-11-16 17:12:59
207039,모정통증의학과유료,광주광역시 동구 금남로 182,광주 동구 금남로5가 127,0,2019-04-23 16:09:04,2019-01-11 18:39:34
207091,명성예식장 ,광주광역시 동구 천변우로 361-21,광주 동구 수기동 68-1,0,2019-09-19 15:44:41,2019-01-11 18:39:36
220161,남산공원 소파로 버스전용,,중구 남창동 205-107 ,0,2019-06-19 10:34:47,2019-06-18 14:49:47
220164,장충단로(한남광장) 버스전용,,용산구 한남동 산9-19,0,2019-06-19 11:02:41,2019-06-18 14:49:47
220167,탑골공원 버스전용,,종로구 종로2가 38-4,0,2019-06-19 10:57:58,2019-06-18 14:49:47
220169,가양3동,,강서구 가양동 1488-12,0,2019-06-19 15:31:25,2019-06-18 14:49:47
220176,제물포로,,강서구 화곡동 947-3,0,2019-06-19 12:30:04,2019-06-18 14:49:48
220182,구로디지털단지역(상),"",서울 영등포구 대림동 1064-3,0,2020-06-03 20:23:25,2019-06-18 14:49:48
220190,양평동(동),,영등포구 양평동5가 44-1,0,2019-10-21 16:15:35,2019-06-18 14:49:48
220193,봉천복개3,,서울특별시 관악구 신림동 1467-3,0,2019-06-19 12:45:35,2019-06-18 14:49:48
220198,보라매상업,,서울특별시 동작구 신대방동 441-12,0,2019-06-19 12:43:04,2019-06-18 14:49:48
220199,동호대교(남),,강남구 압구정동 435,0,2020-03-25 15:26:01,2019-06-18 14:49:48
220209,남대문 화물,,서울특별시 중구 남대문로4가 3-6,0,2019-06-19 10:56:50,2019-06-18 14:49:49
220219,청계3,,서울특별시 종로구 예지동 140,0,2019-06-19 09:44:09,2019-06-18 14:49:49
220221,청계6,,서울특별시 종로구 종로6가 289-49,0,2019-06-19 10:05:13,2019-06-18 14:49:49
220223,돈화문로,,서울특별시 중구 초동 22-2,0,2019-06-19 09:46:15,2019-06-18 14:49:49
220228,을지로,서울특별시 중구 을지로 지하 131,서울특별시 중구 을지로3가 282-8,0,2019-06-19 11:00:44,2019-06-18 14:49:49
220235,봉화산역(남),,서울특별시 중랑구 신내동 647,0,2019-06-19 15:18:17,2019-06-18 14:49:50
220242,미근동,,서울특별시 서대문구 미근동 267-3,0,2019-06-18 17:09:25,2019-06-18 14:49:50
220482,공항2,,대구 동구 지저동 907,0,2020-06-10 14:54:08,2019-08-21 11:04:02
220496,우편집중국서편,,대구 북구 산격동 1576,0,2019-08-22 12:27:29,2019-08-21 11:04:02
220519,와룡공원지하,,대구 달서구 이곡동 1191-2,0,2019-08-22 11:41:19,2019-08-21 11:04:03
220537,3공단로1,,대구 북구 노원동2가 1,0,2019-08-22 14:07:18,2019-08-21 11:04:03
221654,영동대로 86길,,서울특별시 강남구 대치동 1012-22,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221655,테헤란로 78길,,서울특별시 강남구 대치동 1011-6,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221656,영동대로 96길,,서울특별시 강남구 삼성동 172-40,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221666,개포주공 5단지 북측,서울특별시 강남구 개포로88길 10-2,,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221707,민속의 집,서울특별시 강동구 고덕로83길 55,,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221708,둔촌역 전통시장,,서울특별시 강동구 성내동 417-34,0,2020-03-24 14:54:46,2020-03-24 12:13:09
221714,암사1동,서울특별시 강동구 올림픽로98길 8,,0,2020-03-24 12:13:09,2020-03-24 12:13:09
221727,마곡2,,서울특별시 강서구 마곡동 364-8,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221733,서울식물원 제2,서울특별시 강서구 마곡동 20-3,,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221730,마곡8,,서울특별시 강서구 마곡동 802-3,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221731,강서아파트,"",서울 강서구 화곡동 980-2,0,2020-03-24 12:45:33,2020-03-24 12:13:10
221759,목사랑시장 고객,,서울특별시 양천구 목동 723-7,0,2020-03-24 13:10:21,2020-03-24 12:13:10
221769,서서울,,서울특별시 양천구 신월동 268-95,0,2020-03-24 14:40:15,2020-03-24 12:13:10
221776,한두,,서울특별시 양천구 목동 610-5,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221779,벚꽃길,,서울특별시 양천구 신정동 884-8,0,2020-03-24 14:47:56,2020-03-24 12:13:10
221782,여울,,서울특별시 양천구 신월동 151-5,0,2020-03-24 14:33:01,2020-03-24 12:13:10
221783,등마루,,서울특별시 양천구 목3동 965-1,0,2020-04-06 17:28:51,2020-03-24 12:13:10
221810,신촌노상,,서울특별시 마포구 노고산동 49-55,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221812,망원시장,,서울특별시 마포구 망원동 414-115,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221811,월드컵시장,,서울특별시 마포구 망원동 480-5,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221821,중앙도서관,서울특별시 마포구 성산로 128,,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221824,한서,서울특별시 마포구 숭문12길 53,,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221826,망원2-1,서울특별시 마포구 망원로3길 24,,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221876,방배사이길,,서울특별시 서초구 방배동 758-3,0,2020-03-24 12:13:10,2020-03-24 12:13:10
221877,방배가구거리,,서울특별시 서초구 방배동 765-1,0,2020-06-04 14:59:55,2020-03-24 12:13:10
221871,반포 둥근마을,서울 서초구 서초중앙로31길 14-5,서울 서초구 반포동 49-8,0,2020-06-04 15:27:49,2020-03-24 12:13:10
221881,하이파킹 중앙로,서울특별시 서초구 방배중앙로 25,서울 서초구 방배동 977-17,0,2020-06-04 15:17:49,2020-03-24 12:13:10
221865,서초역,서울특별시 서초구 반포대로28길 7,,0,2020-03-24 12:13:11,2020-03-24 12:13:11
221905,문정골길,,서울특별시 송파구 문정동 41-14,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221906,비석거리,,서울특별시 송파구 가락동 95-6,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221913,풍납2,서울특별시 송파구 풍납동 175,,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221914,거여동,서울특별시특별시 송파구 오금로68길 8,,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221933,청량리1공영,"",서울 동대문구 제기동 849,0,2020-03-25 11:30:57,2020-03-25 09:51:19
221927,석촌고분,"",서울 송파구 석촌동 248,0,2020-03-25 11:05:09,2020-03-25 09:51:19
221951,평창동460-3,,서울특별시 종로구 평창동 460-3,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221932,약령시,서울특별시 동대문구 약령중앙로26,,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221945,회기역,,서울특별시 동대문구 휘경동 255-13,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221941,신일피혁,"",서울 동대문구 장안동 480-9,0,2020-03-25 11:23:22,2020-03-25 09:51:19
221958,대학로 8가길,서울특별시 종로구 대학로8가길 119,서울 종로구 동숭동 1-135,0,2020-05-07 11:59:08,2020-03-25 09:51:19
221947,이경시장,"",서울 동대문구 이문동 354-5,0,2020-03-25 11:16:03,2020-03-25 09:51:19
221955,하나로빌딩옆,"",서울 종로구 인사동 194-4,0,2020-05-13 16:05:14,2020-03-25 09:51:19
221963,쌍문2동제5공영주차장,,서울특별시 도봉구 쌍문2동 715-2,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221954,평창동,"",서울 종로구 평창동 114-3,0,2020-03-25 11:17:53,2020-03-25 09:51:19
221976,구산동마을공원,,서울특별시 은평구 구산동 340-7,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221973,갈현1동,,서울특별시 은평구 갈현1동9-112,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221968,창동역(동측)공영주차장,,서울 도봉구 창동 1-9,0,2020-03-25 10:18:23,2020-03-25 09:51:19
221980,증산체육공원,,서울특별시 은평구 증산동 산21,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221993,성북동길2길,,서울특별시 성북구 성북동 237-3,0,2020-03-25 09:51:19,2020-03-25 09:51:19
221991,성북동길1길,,서울특별시 성북구 성북동 237-3,0,2020-03-25 09:51:19,2020-03-25 09:51:19
